Frequency (Hz),SPL (dB),p_rms (Pa),Î”f (Hz),Pressure PSD (Pa^2/Hz)
31.5,119.8,19.544744419116224,4.958051630059795,77.04579599223896
40.0,120.0,20.0,6.2959385778537085,63.53302133648838
50.0,120.0,20.0,7.869923222317135,50.82641706919071
63.0,120.0,20.0,9.91610326011959,40.338426245389456
80.0,119.8,19.544744419116224,12.591877155707417,30.336782171944087
100.0,120.5,21.185074503545795,15.73984644463427,28.51408895884019
125.0,121.5,23.77004454874038,19.674808055792838,28.717688947554706
160.0,122.0,25.178508235883324,25.183754311414834,25.17326325317174
200.0,121.5,23.77004454874038,31.47969288926854,17.94855559222169
250.0,120.5,21.185074503545795,39.349616111585675,11.405635583536077
315.0,119.0,17.82501876267492,49.58051630059795,6.408390182211172
400.0,117.0,14.158915687682748,62.95938577853708,3.184193920761704
500.0,115.0,11.246826503806984,78.69923222317135,1.6072724324430265
630.0,113.0,8.93367184301927,99.1610326011959,0.8048574173257732
800.0,111.0,7.0962677846715065,125.91877155707417,0.399916675242831
1000.0,109.5,5.9707652378359155,157.3984644463427,0.2264954594744659
1250.0,108.0,5.023772863019165,196.74808055792838,0.12827720457367758
1600.0,107.0,4.477442277136676,251.83754311414833,0.07960484801904259
2000.0,106.0,3.990524629937758,314.7969288926854,0.0505859027219687
2500.0,105.0,3.556558820077846,393.49616111585675,0.03214544864886052
3150.0,104.0,3.1697863849222285,495.8051630059795,0.02026510911084876
4000.0,103.0,2.825075089245511,629.5938577853708,0.012676504322880927
5000.0,102.0,2.5178508235883323,786.9923222317135,0.008055444241014956
6300.0,101.0,2.2440369086039262,991.610326011959,0.005078306987210552
8000.0,100.0,2.0,1259.1877155707416,0.0031766510668244196
10000.0,99.0,1.782501876267492,1573.984644463427,0.0020186429073965196
